,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DTC__criterion,param_DTC__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.540199184417725,0.4583632369831933,1.0806007862091065,0.23303536251567303,gini,3,"{'DTC__criterion': 'gini', 'DTC__max_depth': 3}",0.4669767441860465,0.47510469986040016,0.467194043741275,0.4634713820381573,0.4723127035830619,0.46901191468178816,0.0041511760811058,15
1,8.255802106857299,0.2723387690556966,1.1641979694366456,0.3737284494507864,gini,9,"{'DTC__criterion': 'gini', 'DTC__max_depth': 9}",0.5046511627906977,0.5248953001395998,0.5314099581200559,0.5067473243369008,0.5211726384364821,0.5177752767647472,0.010411526662334473,1
2,12.337401485443115,0.7322889631257669,1.12139949798584,0.32421980259016675,gini,16,"{'DTC__criterion': 'gini', 'DTC__max_depth': 16}",0.5032558139534884,0.5155886458818055,0.49697533736621685,0.5160539785946953,0.5267566309911587,0.5117260813574729,0.010477570326004592,3
3,15.54920048713684,1.4482317086927705,1.1127999782562257,0.2277464046552482,gini,23,"{'DTC__criterion': 'gini', 'DTC__max_depth': 23}",0.5083720930232558,0.5044206607724523,0.5002326663564448,0.5234993020009306,0.5323406235458352,0.5137730691397838,0.01216005160438577,2
4,17.176600790023805,0.8408950543082998,1.0934004306793212,0.23036998656281507,gini,29,"{'DTC__criterion': 'gini', 'DTC__max_depth': 29}",0.49953488372093025,0.5053513261982318,0.5025593299208935,0.5211726384364821,0.5202419730107026,0.509772030257448,0.009120947405204466,4
5,18.01380124092102,1.3393940804789908,1.1776021003723145,0.17108045698187271,gini,36,"{'DTC__criterion': 'gini', 'DTC__max_depth': 36}",0.4948837209302326,0.49418334108887857,0.498371335504886,0.5160539785946953,0.5267566309911587,0.5060498014219702,0.013063762283012615,8
6,18.171799230575562,1.836627982733283,1.1300008773803711,0.20375627923168652,gini,43,"{'DTC__criterion': 'gini', 'DTC__max_depth': 43}",0.49209302325581394,0.49697533736621685,0.49976733364355513,0.5188459748720335,0.5272219637040484,0.5069807265683336,0.013596149150310032,7
7,17.752199697494508,1.4635043389073736,1.0698004245758057,0.2962905981232788,gini,50,"{'DTC__criterion': 'gini', 'DTC__max_depth': 50}",0.4948837209302326,0.4988366682177757,0.49464867380176825,0.5202419730107026,0.5165193113075849,0.5050260694536128,0.011067832589223342,9
8,6.123399543762207,0.5617205906379741,1.1324015140533448,0.32681117641286384,entropy,3,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 3}",0.433953488372093,0.4169381107491857,0.41228478362028853,0.4201954397394137,0.43182875756165656,0.4230401160085274,0.008453942781185818,16
9,9.14860005378723,0.7459235046348297,1.0975985050201416,0.20593540366317903,entropy,9,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 9}",0.5144186046511627,0.5104699860400186,0.5202419730107026,0.4872033503955328,0.5127966496044672,0.5090261127403768,0.011379008439400944,6
10,14.09240164756775,1.1078177364775523,1.0335991859436036,0.2023223799052261,entropy,16,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 16}",0.4986046511627907,0.5127966496044672,0.511400651465798,0.5044206607724523,0.5197766402978129,0.5093998506606642,0.00727389681315102,5
11,17.17600021362305,1.3701372509915062,1.004601812362671,0.1858508928330948,entropy,23,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 23}",0.4967441860465116,0.495114006514658,0.49697533736621685,0.4974406700791066,0.501628664495114,0.4975805729003214,0.002170549290620593,11
12,18.223201036453247,0.9987154708080093,0.9887982845306397,0.19677032512392367,entropy,29,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 29}",0.48697674418604653,0.49371800837598884,0.49697533736621685,0.511400651465798,0.5006979990693345,0.4979537480926769,0.008096215375251606,10
13,18.263200426101683,0.5452362578580824,0.967800235748291,0.1880123563944162,entropy,36,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 36}",0.4874418604651163,0.495114006514658,0.4927873429502094,0.5030246626337832,0.498371335504886,0.49534784161373063,0.005238138342302019,14
14,17.689198398590086,0.4139847528909798,0.8062024116516113,0.17738268598421414,entropy,43,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 43}",0.4897674418604651,0.4965100046533271,0.49418334108887857,0.5062819916240112,0.4993020009306654,0.4972089560314695,0.005508535627200293,12
15,14.976596927642822,1.4925983957313214,0.5907997131347656,0.11582714414583392,entropy,50,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 50}",0.4981395348837209,0.498371335504886,0.4806886924150768,0.49976733364355513,0.5002326663564448,0.4954399125607368,0.007418581523772031,13
