,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,491.8549520969391,34.68042985846463,1.6285763740539552,0.3086766207881659,100,{'RF__n_estimators': 100},0.6130232558139534,0.6072591903210796,0.6128431828757561,0.614704513727315,0.6202885062819916,0.6136237298040191,0.004172877298460936,10
1,1066.134822845459,80.60062365144984,2.1069092750549316,0.3347297141225753,200,{'RF__n_estimators': 200},0.6227906976744186,0.6268031642624476,0.6216845044206608,0.6216845044206608,0.6375058166589112,0.6260937374874198,0.006008853165884246,9
2,1656.5778694629669,100.30365308748776,2.201997661590576,0.2727872568355882,300,{'RF__n_estimators': 300},0.633953488372093,0.6295951605397859,0.6300604932526757,0.6207538389948813,0.6314564913913449,0.6291638945101562,0.00447023765107278,8
3,2168.603327894211,177.85522432550403,2.7004372596740724,0.33395614883505165,400,{'RF__n_estimators': 400},0.6334883720930232,0.6281991624011168,0.6347138203815729,0.6277338296882271,0.6254071661237784,0.6299084701375437,0.003572663455311431,7
4,2753.89512424469,286.4741414869966,2.990270185470581,0.5905532108106685,500,{'RF__n_estimators': 500},0.6372093023255814,0.6263378315495579,0.636109818520242,0.6212191717077711,0.6337831549557934,0.6309318558117891,0.006160987433499018,3
5,2991.050950908661,162.4044191950959,2.9969608306884767,0.5308305867858655,600,{'RF__n_estimators': 600},0.6330232558139535,0.6212191717077711,0.6379711493718009,0.6295951605397859,0.6291298278268962,0.6301877130520415,0.005486841662953832,6
6,3292.1954251766206,257.44007163367405,3.358892631530762,0.500321571426967,700,{'RF__n_estimators': 700},0.6413953488372093,0.6254071661237784,0.6370404839460214,0.6277338296882271,0.6333178222429037,0.6329789301676281,0.005870091309850081,2
7,3511.4599563121797,132.85028590623972,3.471798896789551,0.24438775952543418,800,{'RF__n_estimators': 800},0.6390697674418605,0.6277338296882271,0.6384364820846905,0.6272684969753374,0.6337831549557934,0.6332583462291816,0.00504499174912838,1
8,3543.5757052898407,182.09156942269848,3.131999206542969,0.2966126544262841,900,{'RF__n_estimators': 900},0.6353488372093024,0.6309911586784551,0.6347138203815729,0.6235458352722196,0.6291298278268962,0.6307458958736892,0.004276545247731197,5
9,3266.5728816986084,160.92745566266458,2.8477954864501953,0.457981545120459,1000,{'RF__n_estimators': 1000},0.6413953488372093,0.6268031642624476,0.6370404839460214,0.6244765006979991,0.6244765006979991,0.6308383996883353,0.00703058556508872,4
